fala,comportamento
"Priscila Lourenço Molina Porque a minha ajuda seria nesse sentido. Priscila, eu estou tentando contato com as pessoas e elas estão se recusando a participar de uma agenda que eu preciso que seja feita por causa disso e disso e disso. Isso aconteceu, Jaguar? Isso.",vida_privada
"Jaguaraci Batista Silva Uma delas foi fazer o plano de risco que eu fiz e entreguei ali para a Carol e ela compartilhou... Jaguar, eu queria que você respondesse a minha pergunta.",vida_privada
"Jaguaraci Batista Silva Tem essa parte da migração primes, né, que você até tirou dúvidas sobre a planilha do Alexandre. Isso! O que que deu esse ponto? Eu peguei a planilha do Alexandre, criei uma coluna ali para tratados de homens de idade que seriam consumidos ali pelo atacado. Essa demanda foi direcionada ali pelo Ramiro, né? E aí tem uma thread ali, já uma agenda que eu estou atualizando. Na verdade foi direcionado ali para o time do Morgado, né? Junto a Elano. É, a Elane que ia fazer isso ou a Ju, né?",vida_privada
"Jaguaraci Batista Silva É que o Morgado, ele que é o líder ali da Squad, então ele relutou ali em liberá-las por conta das demandas que estavam vindo. E como eu vi que eram algumas informações que eu já tinha visto no Confluence, o mapeamento que foi iniciado, outro pedaço ali que tinha informação. Eu já trabalhei com essa página descoberta para migração para a nuvem, então eu fiz um planejamento meu, mas eu acredito que o Ramiro deve ter um planejamento.",desvalorização
"Jaguaraci Batista Silva Além dessa parte ali da migração ali do UmPrivate e do Razer, tem duas coisas também que estão...",delegação_inadequada
"Jaguaraci Batista Silva A integração do painel com o mercado-alvo, que eu faço ali de casting, eu até fiz desenho de arquitetura para ajudar o pessoal para descoberta, eles já estavam finalizando o protótipo. Mas isso não andou, tá? A Thalani cobrou também, mas não andou. Acredito que o desenho da arquitetura está bem completo, tem todas as etapas da solução ali bem definidas e o desenho está muito bom. Não estou falando isso porque eu fiz, não. Dentro daquilo que foi conversado. Eu entendo quando eu faço um bom desenho, quando eu faço um péssimo desenho, quando não tenho muita informação. Mas daquela conversa que eu participei, eu consegui extrair muita informação. Inclusive, eu passei para a Elano e toda a informação foi extraída. Então, faltou mesmo a direção do banco mesmo para eu testar o ambiente, se os servidores as CADs estão realmente linkados, se não estão, porque não estão, quem vai fazer, quem vai ser responsável por isso, mas a solução para fazer a consulta, como deveria fazer, as tecnologias que deveriam usar já estão no desenho. Então, do ponto de vista de solução, o desenho, eu considero ele as 90 opções. Acho que 10% menos, 11 pages mesmo, porta, definir tudo isso. O banco precisa definir. Só que isso não tá caminhando, tá, Priscila? Eu coloquei pro desenho, a Elaine tá cobrando, mas a gente já vai aí pra uma semana sem nenhuma resposta, sem nenhuma interação. Quem deveria ser a pessoa?",desvalorização
"Jaguaraci Batista Silva Tudo isso é a partir do BIAM.",delegação_inadequada
"Jaguaraci Batista Silva Mas é um caminho. Os domínios de dados que eu coloquei na planilha do Ramiro, eles são mais corporativos. Eles já partem do processo do Bianco ou do domínio de dados do Bianco. Eles não são domínios de dados dos seus forços. Eu acredito que esse é o caminho. Mas para ter esse entendimento, eu acredito que alguém da área de negócio precisa entender o que é o Bianco. Precisa mapear esses domínios do ponto de vista corporativo e de um modelo mais global, que não pode ser vinculado ou dependente de uma tecnologia como seus fones.",delegação_inadequada
"Priscila Lourenço Molina Eu acho que eles não estão nesse nível de amadurecimento ainda, mas não quer dizer que a gente não possa elevar o nível, tá, Jaguar? Mas eu acho realmente que a gente tá com questões mais fundamentais ali dentro. Inclusive pela mudança mesmo do Vessou, pela tanto de P.O.s novos que estão aqui e por essas demandas aí que estão chegando com data-alvo, eu acho que talvez é too much para esse semestre, sabe, considerando aí até o fim do ano e as datas marco, mas vamos monitorando, se encontrar o espaço a gente entra com isso, tá.",desvalorização
"Jaguaraci Batista Silva A gente estava falando na última reunião lá de sua 27 preocupação em relação à saída do Alex. Isso aí. E a gente falou também sobre a questão do apoio à migração ali para o Rio de Janeiro. Então, assim, não houve muito avanço, tá? Ficou ali a responsabilidade do Morgado ver um time para fazer inventário das bases e isso não avançou, pelo que eu vi ali com a Elaine e a Juliana.",vida_privada
"Jaguaraci Batista Silva Eu até comentei ali com o Ramiro se precisasse de apoio com scripts ali, que eu conheço bem, assim, Transact SKL, e eu poderia apoiar com os scripts. Também falei com a Elane sobre acesso. Eu testei alguns scripts ali, mas eu não consegui acesso. Então precisa realmente ver como é orgado ali. Mas por que você não conseguiu acesso do Jaguar?",vida_privada
"Priscila Lourenço Molina É porque precisa da máquina Bradesco? Não, o acesso é de um usuário mesmo.",delegação_inadequada
"Jaguaraci Batista Silva E aí eu tô, como o Alex, ele tá numa atividade ali até o final da semana, e esse captei tá planejado pra semana que vem, eu comecei a ver algumas documentações ali no Confluence do Rá. As documentações são muito limitadas, né, e são muito confusas. Então eu... Preciso fazer tudo de novo, Jaguar, essa documentação.",vida_privada
"Priscila Lourenço Molina Eu acho que o Pion, nesse caso, como tem muita parte daí, concordo com você, não é exatamente uma história de negócio. Nós estamos falando de uma parte técnica que é esse cálculo. Eu acho que quem deveria chancelar mesmo é o P.O. Não é isso mesmo.",desvalorização
"Jaguaraci Batista Silva Mas aí você entende, Priscila, que a programação em si, eu não vejo assim como algo muito complexo.",vida_privada
"Jaguaraci Batista Silva A programação, ela não é complexa. É complexo entender o cálculo, ou seja, entender o negócio. O que é programação é... Quem estuda computação estuda estatística básica. Basicamente é um cálculo estatístico ali. Mas nem todas as pessoas...",desvalorização
"Priscila Lourenço Molina não, Jaguar, nem todas as pessoas tem profundidade técnica e estatística pra isso. Mas nesse caso a parte técnica eu apoio, sabe?",desvalorização
"Priscila Lourenço Molina Mas aí, Jaguar, novamente tá na dependência de você ou de alguma pessoa. A gente precisa eliminar qualquer dependência. A documentação serve pra que a gente perpetue um conhecimento.",vida_privada
"Jaguaraci Batista Silva A primeira é que a gente entende o código e aí documenta o código. Pra documentar o código, a gente precisa ter conhecimento de como é uma simulação de RA. Esse conhecimento eu tô participando de um conhecimento externo e não do conhecimento do banco. Quem deveria estar apoiando o KT ali junto com o conhecimento e dizer como o banco faz seria um P.O. Ou um analista de risco de crédito. Se ele não fizer isso o Thales vai enviesar pelo que eu entendo que é uma simulação e que não é como o banco faz.",delegação_inadequada
"Jaguaraci Batista Silva Esse papel de analista de risco de crédito, ele não faz parte das atividades da Vila Atacado, ele é da equipe de crédito mesmo. Entendi.",falta_suporte
"Jaguaraci Batista Silva Eu preciso ver o equilíbrio ali com as outras atividades que eu tô fazendo. Pra mim, essa é prioridade perante qualquer outra, tá, Jaguar? E essa atividade, ela vai demorar um tempo, tá, Priscila? Sim. Porque não é só pegar o código e comentar o código. É entender realmente como se faz uma simulação em rádio. Exato, é o conceito e o técnico, sim. E precisa ter esses envolvidos, né?",desvalorização
"Jaguaraci Batista Silva É porque fazer engenharia reversa do código para entender não adianta, porque o código não tem conhecimento de negócio. O conhecimento de negócio está na cabeça das pessoas.",delegação_inadequada
"Jaguaraci Batista Silva você precisa alinhar o especialista em negócio para apoiar esse conhecimento do que foi implementado. Se não tiver um especialista para apoiar, há um risco de tudo que for documentado, for documentado errado.",delegação_inadequada
"Jaguaraci Batista Silva Ela vai passando por filtro de validação.",falta_suporte
"Priscila Lourenço Molina O que a gente não pode é paralisar perante. A gente tem duas semanas. A gente não pode ficar paralisado esperando o cenário perfeito para documentar uma rotina legada. Entendeu? Ponto, Jaguar. É esse senso de emergência que a gente precisa fazer. Aí eu não sei se você entendeu.",vida_privada
"Priscila Lourenço Molina Eu acho que você fica muito preocupado em delimitar a responsabilidade e não em resolver problemas. Nós estamos aqui para resolver problemas.",vida_privada
"Jaguaraci Batista Silva O carteiro do Alex precisa ter a presença do Alex, do Thales, a minha e de um PO.",delegação_inadequada
"Jaguaraci Batista Silva Aí, Priscila, eu preciso da sua ajuda pra contactar essas pessoas porque o Alex, ele tá fazendo demanda. Ele está ainda em demanda. Você tentou contactar essas pessoas e elas se recusaram?",vida_privada
"Priscila Lourenço Molina Porque a minha ajuda seria nesse sentido. Priscila, eu estou tentando contato com as pessoas e elas estão se recusando a participar de uma agenda que eu preciso que seja feita por causa disso e disso e disso. Isso aconteceu, Jaguar? Isso.",vida_privada
"Jaguaraci Batista Silva Uma delas foi fazer o plano de risco que eu fiz e entreguei ali para a Carol e ela compartilhou... Jaguar, eu queria que você respondesse a minha pergunta.",vida_privada
"Priscila Lourenço Molina normalmente eles têm bloqueado a URL do Meet lá. A gente só consegue falar com eles quando a gente agenda pelo AVD. Você está com acesso ao AVD, né?",vida_privada
"Jaguaraci Batista Silva Quando você loga fora da AVD, na própria rede mesmo, na VPN, você tem uma opção ali no... Deixa eu pegar o atalho correto aqui. Naqueles atalhos ali do Workspace do Google. Do Workspace do Google?",delegação_inadequada
"Jaguaraci Batista Silva É, eu recebi o e-mail da Agnes que ela recusou o convite, então não dá pra... Mas a gente já conversou, né, acho que era mais pra ver algum... Algum mal-entendido, a gente vai entender alguma coisa errada e parar as arestas e todo mundo tocar a vida bem, né? Com graça e paz, como eu sempre escrevo de pela manhã. Era por isso que a agenda foi pra isso. Mas você faz assim, então, Jaguar.",vida_privada
"Priscila Lourenço Molina Puxa essa agenda, mas puxa lá na agenda do Teams mesmo, que daí você consegue, quando a sua AVD normalizar. Que daí você consegue ver a agenda dela, você pega um buraco na agenda dela, e aí chama a gente, nós três aqui, sabe? Mas marca lá no Teams, não marca aqui no Meet não. Tá bom. Tá bom?",vida_privada
"Priscila Lourenço Molina Aquele ponto que você colocou hoje de manhã, né, da cobrança das suas atividades. A Agnes te cobrou, me conta assim, me explica melhor como que eles cobraram essas coisas, porque sério, aquilo ali tá obsoleto? Se eles estão cobrando com base em algo obsoleto, eu preciso, sabe, eu acho que eu vou ter que escalar esse assunto. Priscila, eu vi algumas agendas ali do Elton.",vida_privada
"Jaguaraci Batista Silva O arquiteto, a gente vê, toma as decisões, vê o histórico dessas decisões. Então, é normal quando a gente entra, a gente vê esses históricos para ver a direção das arquiteturas. Então, essas decisões que eu vi lá, me parece que havia um trabalho de arquitetura sendo feito pelo Elton, porque eu vi vários desenhos dele, acho que em É isso aí. Então ele fazia muito esses papéis, só que ao longo do tempo parece que isso foi repassado ali para a Agnes.",desvalorização
"Priscila Lourenço Molina Eu acho que se surgir a oportunidade, tudo bem, mas explicitamente puxar uma agenda com ele, não precisa. É isso aí. Entendeu, Priscila?",vida_privada
"Jaguaraci Batista Silva Essas coisas aí que eu acho que agora tá claro pra você. E aí, com relação ao time de dados indicadores, já tem uma agenda com a Elane, com a Juliana, vai ser tocada. Os débito técnicos que elas apontaram, eu já passei por e-mail ali pra Agnes, porque tem a ver com telemetria, E eu entendo que precisa da ajuda dos padrões do banco para haver performance. Aí eu conversei com a Agnes e depois a VDA, a VDI tiver funcionando com a VD. Eu já encaminhei o e-mail para ela logo pela manhã para que a gente pudesse falar nessa agenda técnica, mas a agenda técnica ela furou, as pessoas não estão participando.",vida_privada
"Jaguaraci Batista Silva Eu acho que depois que a gente colocou ali as mensagens, e até vendo com fluência mesmo as limitações, eu vejo que não dá pra fazer. As atividades foram colocadas ali pelas P.O.s e pelo Vandré, por exemplo, de agora ser responsável pelo Swag. Não, isso aí não dá pra fazer. Acho que é a visão anterior ali, quando ela trabalhava. Era antes? Tinha mais acesso? Quem tá tocando é outra pessoa, ele já fez, já tá disponível lá. Acho que é mais atualizar ele desses papéis novos aí, essas direções. Pra que não fique... Acho que é por causa disso. Que tá acontecendo ali, alguns problemas ali com a Agnes. Eu acho que ela até comentou na agenda de definir matriz de responsabilidade, porque eu acho que ela tá se sentindo um pouco invadida ali nas atividades dela, né, por isso que eu vim aqui pra conversar agora.",vida_privada
"Priscila Lourenço Molina Pode ser sim, o Jaguar, mas eu já tinha conversado com ela e assim, ela não O problema, uma coisa que você tem que entender, uma leitura mesmo de cenário no banco é o seguinte, ninguém gosta de ser exposto. E a Agnes, no momento que você às vezes sugere alguma coisa, mesmo na melhor proatividade, numa agenda que tem mais pessoas, ela pode se sentir exposta. Então, o que a gente tem que cuidar é muito da imagem das pessoas que a gente tá dentro do banco, auxiliando elas se desenvolverem. Porque a gente não tá só aqui pra entregar as coisas. A gente está aqui também pra ajudar o banco a se desenvolver dentro de metodologia, de processo, de expertise técnica em determinadas alçadas. Então, o que eu queria te dizer. Quando você mandou esse... É uma pergunta. Quando você mandou esse e-mail pra Agnes, falando da... Do que você mandou hoje cedo, que você falou dos pontos ali de atenção, você mandou só pra Agnes? Só pra Agnes.",vida_privada
"Jaguaraci Batista Silva Eu acho que essas fronteiras ali de atuação, depois que eu vi as jornadas ali no Confluence, não tem como fazer essa atividade porque precisa de credencial, tem que ser funcionário do banco. Então acredito que o perfil ali que tem a capacidade para fazer isso seja a Águia. Então não tem porque interessar para outras pessoas que elas também não vão conseguir fazer. É isso aí.",desvalorização
"Priscila Lourenço Molina Fica muito do lado dela no sentido de deixar ela informada, auxiliar no que ela precisa e fazer ela brilhar. Teve um conselho muito importante que eu recebi quando entrei no banco. A pessoa falou pra mim, Priscila, o teu sucesso é fazer a pessoa do banco brilhar. Esse é o teu sucesso. Não é você, de fato, fazer as coisas acontecerem. É você, por meio das pessoas do banco, fazer as coisas acontecerem e essa pessoa brilhar. E isso deu muito certo em todas as frentes que eu passei, sabe, Jaguar? Porque quando a pessoa do banco brilha, significa que a gente tá fazendo o nosso trabalho como como ali, né, no dia a dia, operacionalmente ajudando eles a transpor os desafios que eles têm e também desenvolvendo as pessoas para as funções que elas estão. Eu já formei muitas pessoas, muitas não, vou dar número, quatro pessoas. Quatro pessoas no banco que inclusive subiram de cargo, subiram de posição justamente por terem brilhado fazendo as coisas do jeito que a gente acredita, tá? Então leva isso também. Faz a Agnes brilhar, você vai ver, vai dar certo. É, faz parte, nós somos construtores, a gente nos contrata pra isso.",desvalorização
"Jaguaraci Batista Silva A nossa luz ilumina todos, mas a luz que tem que brilhar não é nossa. Não é nossa, Jaguar.",vida_privada
"Jaguaraci Batista Silva Então tá bom. Não são minhas atividades ou minhas ações que devem estar em evidência. Isso. Acho que tem evidência dentro do nosso time, né, pra que o time tenha segurança, tenha confiança. É isso aí, Jaguar. É isso aí, Jaguar.",desvalorização
"Jaguaraci Batista Silva As atividades ali no BOJA, ali do Espioso, da jornada de crédito e de cash, tem a minha responsabilidade ali, foi assinalada o meu nome. Por isso que eu preciso conversar com eles, porque eles estão esperando que eu tenha essa responsabilidade de fazer o plano de risco. Eu até anotei aqui todos eles, porque ontem eu vi na jornada e eu não consigo fazer porque eu não tenho acesso.",vida_privada
"Priscila Lourenço Molina Na verdade, o que eles estão esperando é que, quando a gente coloca ali esperando, é que a gente puxe um plano de risco, mas não necessariamente que a gente seja o responsável por trazer para todo mundo todos esses riscos mapeados, entendeu?",desvalorização
"Jaguaraci Batista Silva Eu mandei um e-mail para a Agnes para ela confirmar os componentes da arquitetura, porque são padrões da arquitetura, são homologados ali. Ela não me respondeu ainda. Preciso confirmar com ela aqui. Tá.",vida_privada
"Priscila Lourenço Molina Quando você conseguir entrar na AVD, pergunta pra ela no chat se ela pode te ajudar com isso, mesmo que ela responda no chat mesmo ali as suas dúvidas, mesmo que ela não precise responder por e-mail, responder pelo chat. Fala que é pra abertura das vagas, que a gente vai precisar abrir as vagas aqui da equipe de integração. Fala que é pra abertura das vagas. E aí, o que eu vou precisar de ajuda, Jaguar? Que você descreva pra mim essa parte técnica pra eu poder fazer a abertura da vaga correta.",vida_privada
"Priscila Lourenço Molina Eles realmente, às vezes, não respondem e-mail. Eles não querem formalizar as coisas. Mas no chat, normalmente, eles são mais abertos, tá, Jaguar? Então, puxa um chat mesmo, pergunta pra ela. E o que ela colocar no chat, a gente assume como verdadeiro. Não precisa dessa formalização. Só mesmo o que ela colocar no chat. É só uma dúvida mesmo. E aí, pronto. Seguimos adiante. Aí você me passa a descrição ali com os complementos. E eu já abro as três vagas. Tá bom. Faço isso agora.",vida_privada
"Elton de Oliveira Ramalho Tudo bem.",falta_suporte
"Jaguaraci Batista Silva Muito legal. Você deve estar em ritmo de férias.",falta_suporte
"Elton de Oliveira Ramalho Férias nada.",falta_suporte
"Priscila Lourenço Molina Vai mais pra cima, deixa eu ver se tem alguma coisa. Porque tudo que você falou está dentro desses temas que eu falei aqui. Inclusive, Pegasystems, quando a gente fala de Pegasystems, a gente está falando desse tema crédito, né, Grandão?",vida_privada
"Jaguaraci Batista Silva Nossa, Rodrigo, mas pessoal, é isso aqui mesmo. Você quer dar uma olhada nele?",vida_privada
"Priscila Lourenço Molina Por quê? Porque quando a gente fala ramp down, eu estou falando apenas que eles não vão atuar aqui, eu não vou desligar ninguém. Eu vou apenas realocar eles dentro da própria C&T. Não existe nenhum risco de eu desligar qualquer pessoa. Não existe. Então a gente não vai perturbar eles com esse tipo de informação, porque pode vir uma demandada de pessoas e não faz sentido nenhum, nem para o contrato, nem para essas pessoas se preocuparem com isso. Tá, Jaguar? Então, informação de gestão. Esse time está estendido até dezembro. Eles vão internalizar esse time dentro do próprio atacado. Mas até que esse time não seja internalizado, a missão desse time é bastante sensível. É um time que tem uma série de rotinas na esteira deles, não só de sustentação, como também de desenvolvimento. E a gente vai precisar fazer essa transição de conhecimento com o banco, sabendo já desse ramp down e eles internalizando esse conhecimento. E a gente vai ser muito pragmático, e até o Elton e o Ramirez ontem estavam estavam me elucidando. Um posicionamento que a gente tem que ter a zap já semana que vem, que é o seguinte, pessoal, estamos perdendo os acessos, essas questões aqui nós não vamos atuar mais. É o que vocês falaram, Priscila, a gente tem que se posicionar nesse sentido. Então eu queria muito que você mergulhasse um pouco também nessa esteira desse assunto de dados, não no Ramp Down, na internalização, isso aqui é assunto que eu vou ter que resolver mesmo, mas eu digo no contexto que eles estão atuando, porque os problemas que pingam ali dentro, Jaguar, a primeira pessoa que o time acionava era o Well. Fora o próprio time, o time queria, o Elton ajudava a investigar ali as questões, o Elton ajudava o time não ficar batendo cabeça, direcionava o time pro rumo da solução, apaziguava os ânimos, né Elton? Nos bastidores, o Elton atuava desse jeito e também comunicando o banco, sendo um elo de ligação ali que verbaliza as coisas num contexto de negócio mais certo. Então, eu diria que esse seria o seu terceiro ponto de atuação aqui dentro, esse espaço, esse buraco aberto. E a sua atuação vai ser relevante e esse espaço coberto tem uma alta importância pra gente como fornecedores dentro da Vila. Consegui explicar os três pontos?",desvalorização
"Elton de Oliveira Ramalho Porque...",falta_suporte
"Elton de Oliveira Ramalho sair de um documento para isso acontecer, tem bastante coisa no meio.",delegação_inadequada
"Jaguaraci Batista Silva Exatamente, todos esses habilitadores aqui.",desvalorização
"Priscila Lourenço Molina como o Robson, né, Elton, antes de ele ser VSM, né?",ataques
"Jaguaraci Batista Silva Aí, assim, junto com o Engenho DevOps ali pra apoiar, eu acho que eu consigo acelerar muita coisa, né, pra resolver esses debates. Principalmente essa parte da telemetria, pra você poder acelerar as entregas, né. Porque telemetria, ela não é só o monitoramento depois que você constrói, mas é toda a parte de debugging que você tá construindo também. Agiliza muito e vê padrão de ferramenta. Comecei a ver alguma coisa com a Agnes, mas ainda não vi a stack completa. Enfim, essa parte aí é mais tranquila porque eu já domino, assim, eu só vi o padrão do banco que a gente faz e faz funcionar. Mas a gente precisa realmente de braço para implementar essas coisas. Isso é o que me preocupa.",vida_privada
"Priscila Lourenço Molina Que daí a gente não tromba com ninguém, ninguém tá fazendo e a gente encontra relevância nisso, né? Porque também vai ser diferente.",vida_privada
"Jaguaraci Batista Silva Era isso aí. Era mais essa agenda mesmo pra ter esse alinhamento que eu vi que tá bem claro. E também te dá mais tranquilidade, né? Se o Elton tá saindo, o Elton tem cinco anos aí de vila. Te dá uma tranquilidade aí e a gente também vai tocando essas informações à medida que eu precisar de alguma coisa. Também já expus aqui as minhas preocupações também, mas fica tranquilo que estamos pegando o controle da situação, e os espaços eram preenchidos.",vida_privada
"Priscila Lourenço Molina Não, perfeito, Jaguar, perfeito. Obrigada por essa tranquilidade, tenho certeza que a gente vai sair do outro lado, Jaguar. Como você disse, eu já falei logo de manhã pro Elton, gente, eu tô... A gente fica muito pesaroso assim quando uma pessoa sai, sabe? Ainda mais uma pessoa assim como o Elton, sabe? Que tem toda uma história aqui que era meu braço direito aqui mesmo, sabe? Meu braço direito aqui na condução das coisas, minha mão firme, meu ponto de apoio. Então assim, Jaguar, agora você vai ganhar tudo isso, mais as minhas perturbações diárias, tá? Mas a gente sempre sai do outro lado, né, Elton? E a gente vai sair também, Jaguar. A gente sempre sai do outro lado. Enfrentamos várias crises aqui. E deu certo, né? Eu acho que vai sim. Conto com você, Jaguar. Tô segura aqui. Vamos em frente. E qualquer coisa o Elton tá aqui do lado também. Eu acho que vale a pena na segunda-feira a gente bater um papo com o Clarindo. E ver uma esquema, Jaguar, o seguinte. Na semana que vem, o Elton separar uma hora pra uma sessão de dúvidas aqui, você dar uma reunida aí nessas questões, pra não ficar, né, um pingo, ou também a gente não ficar sem descoberto. O Elton separar uma hora da agenda dele semana que vem, uma ou mais, não sei quanto você achar necessário, Jaguar. Pra as questões que acontecerem na semana, provavelmente aconteçam mais coisas ali que você interfacei, que de repente não tava claro pra você, o Elton separar um pedaço da agenda dele pra Dá esses direcionamentos. Eu acho que também seria bom semana que vem. E a gente conversa com o Cláudio em segunda-feira, Elton. Não precisa nem ser hoje. Segunda-feira a gente conversa.",vida_privada
"Jaguaraci Batista Silva É o que a gente tava fazendo, né, Elton? A Elton tinha uma agenda também muito cheia. É difícil encontrar o horário que eu tava com ele, imagino. Mas ele dava um jeito ali de encontrar uma horinha pra gente conversar. A gente dividia ali na manhã, né, à tarde. E foi seguindo assim, foi bom, porque passava muito documento, dava tempo de ler e poder tirar dúvidas com ele. Mas a gente só conseguiu avançar mesmo, porque é muita informação, né. Acho que a partir do momento, Priscila, que você foi feliz ali em compartilhar o roadmap, você colocou tudo ali no PPT. Ali, sim, pra mim foi um dos documentos chaves ali pra poder organizar esse projeto de arquitetura. Foi fundamental esse roadmap pra gente poder contextualizar e agora também essa conversa contextualizar muito mais. Muito obrigado.",vida_privada
