fala,comportamento
"Priscila Lourenço Molina Você ficou responsável pela questão da documentação desse KT Jaguar. Como vocês dividiram as responsabilidades nessa questão da saída do Alex? O Thales vai ficar com o conhecimento e com a operação e você vai ficar com a documentação? Não, eu não fiquei responsável pela documentação não.",delegação_inadequada
"Jaguaraci Batista Silva Eu acredito que essa parte precisa ficar bem alinhada, porque a documentação de um processo de cálculo tem que ter o apoio do P.I.O.R. O P.I.O.R. Tem que ser responsável por essa documentação. Que é uma análise de risco. Tem várias análises ali, tem vários modelos. Eu acho que o Pion poderia validar, Jaguar.",delegação_inadequada
"Priscila Lourenço Molina Eu acho que o Pion, nesse caso, como tem muita parte daí, concordo com você, não é exatamente uma história de negócio. Nós estamos falando de uma parte técnica que é esse cálculo. Eu acho que quem deveria chancelar mesmo é o P.O. Não é isso mesmo.",desvalorização
"Jaguaraci Batista Silva O cálculo é de negócio. Então eu estou fazendo o papel de um analista de risco que eu não deveria fazer porque eu posso fazer errado. Ou seja, eu peguei um conceito a partir de análise de risco de modelo de score e acabei implementando em Python, mas esse não é o correto, eu não deveria fazer isso.",delegação_inadequada
"Priscila Lourenço Molina Não, Jaguar, não, deveria fazer o seguinte, você deveria estar junto do KT para documentar toda a parte que uma pessoa engenheiro de dados precisa saber para quando fazer o onboarding no time dentro desse tema, essa documentação suprir a necessidade de informação, seja de negócios, seja técnica, para essa pessoa fazer o suporte, dar o suporte, dar manutenção nesse processo de risco retorno.",delegação_inadequada
"Jaguaraci Batista Silva Mas aí você entende, Priscila, que a programação em si, eu não vejo assim como algo muito complexo.",desvalorização
"Jaguaraci Batista Silva A programação, ela não é complexa. É complexo entender o cálculo, ou seja, entender o negócio. O que é programação é... Quem estuda computação estuda estatística básica. Basicamente é um cálculo estatístico ali. Mas nem todas as pessoas...",desvalorização
"Priscila Lourenço Molina não, Jaguar, nem todas as pessoas tem profundidade técnica e estatística pra isso. Mas nesse caso a parte técnica eu apoio, sabe?",desvalorização
"Jaguaraci Batista Silva Eu fiz o simulador pra isso, pra apoiar, entender os cálculos ali. Não tem problema nenhum. Mas a gente precisa...",falta_suporte
"Priscila Lourenço Molina Mas aí, Jaguar, novamente tá na dependência de você ou de alguma pessoa. A gente precisa eliminar qualquer dependência. A documentação serve pra que a gente perpetue um conhecimento.",vida_privada
"Jaguaraci Batista Silva O que já aconteceu que eu já fiz em várias empresas? A gente tem o apoio do analista, no caso que seja analista de risco, ou pior, que tenha conhecimento suficiente do negócio para dizer as etapas. Porque eu tenho uma visão. Embora eu tenha construído um simulador básico, Determinei 10 etapas ali da simulação, eu não posso enviar as altares para que eles sigam o que eu estou fazendo, porque o que eu estou fazendo a priori está errado. Eu não sei como é que o banco para mim tem uma simulação de errado. Mas nem o próprio banco não sabe, Jaguari. A gente precisa fazer uma engenharia reversa.",desvalorização
"Jaguaraci Batista Silva A primeira é que a gente entende o código e aí documenta o código. Pra documentar o código, a gente precisa ter conhecimento de como é uma simulação de RA. Esse conhecimento eu tô participando de um conhecimento externo e não do conhecimento do banco. Quem deveria estar apoiando o KT ali junto com o conhecimento e dizer como o banco faz seria um P.O. Ou um analista de risco de crédito. Se ele não fizer isso o Thales vai enviesar pelo que eu entendo que é uma simulação e que não é como o banco faz.",delegação_inadequada
"Priscila Lourenço Molina Eu entendo total, Jaguar, mas o que eu preciso é de alguém com ownership Peraí, deu um monte de mensageiro aqui. Eu preciso de alguém com ownership pra justamente fazer essas costuras, seja com o Ramiro, a gente não tem a pessoa na lista de riscos aqui dentro. Nós não temos esse papel na vila, tá? Então, esse alinhamento que eu tô falando, falando, é a pessoa que puxa, e por isso que eu falo que sim, seria sua responsabilidade, porque é alguma coisa que o Elton faria.",delegação_inadequada
"Jaguaraci Batista Silva Esse papel de analista de risco de crédito, ele não faz parte das atividades da Vila Atacado, ele é da equipe de crédito mesmo. Entendi.",isolamento
"Priscila Lourenço Molina Então seria, precisa de uma pessoa com ownership, que no caso pra mim é você, essa designação seria a sua, responsável por alinhar todos esses conceitos, costurar o que precisa. Precisa chamar uma pessoa de crédito? Ramiro, vai lá, preciso dessa pessoa aqui. Costurar tudo isso e documentar isso tudo pra perpetuar um conhecimento dentro do time de dados. Entendeu? Ponto, Jaguar. Independente de você ter acesso ou não, você tem acesso às pessoas. E as pessoas têm o conhecimento. E o conhecimento precisa ser descrito, uma engenharia reversa feita, porque eu acredito que não tenha ninguém no banco que saiba de ponto a ponto esse processo, nem o processo de cálculo, nem exatamente todas as etapas que esse processo percorre. Eu acho que esse conhecimento não está na cabeça de uma pessoa. A gente tem que fazer um download da cabeça de várias pessoas, agregar tudo isso, documentar e perpetuar esse conhecimento. Bom, eu preciso...",delegação_inadequada
"Jaguaraci Batista Silva Eu preciso ver o equilíbrio ali com as outras atividades que eu tô fazendo. Pra mim, essa é prioridade perante qualquer outra, tá, Jaguar? E essa atividade, ela vai demorar um tempo, tá, Priscila? Sim. Porque não é só pegar o código e comentar o código. É entender realmente como se faz uma simulação em rádio. Exato, é o conceito e o técnico, sim. E precisa ter esses envolvidos, né?",desvalorização
"Jaguaraci Batista Silva Eu não deveria estar fazendo o papel de analista de risco. Eu posso apoiar tecnicamente, mas precisa de um P.O. Para que ele explique como é que funciona. Mas você tem acesso? Eu tenho uma reunião com eles agora, inclusive, deixa eu ver.",delegação_inadequada
"Priscila Lourenço Molina Não, não é agora não.",desvalorização
"Jaguaraci Batista Silva É porque fazer engenharia reversa do código para entender não adianta, porque o código não tem conhecimento de negócio. O conhecimento de negócio está na cabeça das pessoas.",delegação_inadequada
"Priscila Lourenço Molina Ô Jaguar, mas você nunca trabalhou numa empresa que só tinha o código pra você extrair a regra? Eu já trabalhei isso e de N formas diferentes com o time de desenvolvimento. Eu já fiz isso. Eu já fiz isso. E a gente conseguiu fazer engenharia de regra sem o código.",falta_suporte
"Jaguaraci Batista Silva Eu acho que o maior trabalho que eu fiz isso durante 3 meses foi pra Toyota. Mas eu contei com a ajuda de um analista. O analista estava do lado fazendo... Porque toda vez que envolve simulação e tem muitos cálculos, você precisa falar com quem é especialista, quem trabalha com isso. Eu não sou especialista em análise de risco.",delegação_inadequada
"Priscila Lourenço Molina Mas aqui a gente tem todo o nosso time, Jaguar. Todo o nosso time disponível você tem acesso as pessoas.",desvalorização
"Jaguaraci Batista Silva você precisa alinhar o especialista em negócio para apoiar esse conhecimento do que foi implementado. Se não tiver um especialista para apoiar, há um risco de tudo que for documentado, for documentado errado.",delegação_inadequada
"Priscila Lourenço Molina Não, Jaguar, eu preciso ir para uma outra reunião agora, mas eu quero te dizer o seguinte. Feito é melhor que perfeito. A gente tem que começar de algum lugar. Não importa. Eu posso ter um risco ali da documentação. Nós vamos validando.",falta_suporte
Jaguaraci Batista Silva Ela vai passando por filtro de validação.,delegação_inadequada
"Priscila Lourenço Molina O que a gente não pode é paralisar perante. A gente tem duas semanas. A gente não pode ficar paralisado esperando o cenário perfeito para documentar uma rotina legada. Entendeu? Ponto, Jaguar. É esse senso de emergência que a gente precisa fazer. Aí eu não sei se você entendeu.",vida_privada
"Jaguaraci Batista Silva A gente não tá paralisado. Eu peguei o modelo, defini 10 etapas da simulação, fiz o simulador em Python. Mas esse simulador não tem nada a ver com o que o banco fez. Por isso que precisa de alguém especialista. Eu entendi, Jaguar. Eu entendi, Jaguar. Vamos conversar com o Alex, mas precisamos do Alex, que implementou o código, e precisamos de alguém do banco, porque essa documentação, ela não é nossa, né? A gente não tem a responsabilidade de documentar o processo RA. A gente tem a responsabilidade de implementar ele em código. Mas a responsabilidade... A gente tem a responsabilidade de mantê-lo, e tudo que for necessário para mantê-lo, Jaguar.",delegação_inadequada
Priscila Lourenço Molina Eu acho que você fica muito preocupado em delimitar a responsabilidade e não em resolver problemas. Nós estamos aqui para resolver problemas.,vida_privada
"Jaguaraci Batista Silva Pelo contrário, se eu cheguei como arquiteto a estipular a etapa de um simulador que é um trabalho de um analista de risco. Implementei o código em Python para entender como é. É porque a gente não está paralisado, mas a gente não documenta a análise de risco do banco. Pelo menos nenhum banco que eu trabalhei, não é o desenvolvedor em dinheiro de dados que faz isso, é o P.O. P.O. Precisa documentar porque o P.O. É quem vai determinar as regras de validação, não é quem implementa no código.",delegação_inadequada
"Priscila Lourenço Molina O Jaguar, eu acho que eu não tô conseguindo me fazer entender da sua responsabilidade aqui dentro. Eu não tô conseguindo me fazer entender mesmo. Eu vou pedir ajuda da BP. Pra gente conversar junto. Porque eu estou com muita dificuldade de conseguir estabelecer pra você uma fronteira de atuação em que você seja um solucionador de problemas e uma pessoa que posicione de ponta a ponta solucionando problemas e não colocando espaços e delimitando responsabilidade dentro de um processo que a gente é responsável de ponta a ponta. Eu não tô conseguindo me fazer entender, mas eu vou pedir ajuda da BP pra ela me ajudar. Eu acho que eu entendi o que você falou e eu estou colocando a minha limitação.",vida_privada
"Jaguaraci Batista Silva Eu acho que, como arquiteto, eu não tenho que estudar análise de risco de banco porque eu não trabalho no banco. Não, com certeza, mas você pode chamar as pessoas.",desvalorização
"Jaguaraci Batista Silva O carteiro do Alex precisa ter a presença do Alex, do Thales, a minha e de um PO.",isolamento
"Priscila Lourenço Molina Sim, você pode liderar esse movimento, você pode colocar dentro de uma apresentação, você fala assim, pessoal, olha o que a gente precisa para isso ser um processo bem estruturado. A gente precisa disso, disso e disso, a deadline é essa, essa e essa, o risco é esse, esse e esse. Pronto.",delegação_inadequada
"Jaguaraci Batista Silva Aí, Priscila, eu preciso da sua ajuda pra contactar essas pessoas porque o Alex, ele tá fazendo demanda. Ele está ainda em demanda. Você tentou contactar essas pessoas e elas se recusaram?",vida_privada
"Priscila Lourenço Molina Porque a minha ajuda seria nesse sentido. Priscila, eu estou tentando contato com as pessoas e elas estão se recusando a participar de uma agenda que eu preciso que seja feita por causa disso e disso e disso. Isso aconteceu, Jaguar? Isso.",desvalorização
Jaguaraci Batista Silva Isso aconteceu? Com relação ali às integrações...,desvalorização
"Priscila Lourenço Molina Não, Jacuara, eu gostaria que você respondesse a minha pergunta. Isso. Isso que aconteceu? O Ramiro, ele demora muito... As pessoas se recusaram.",desvalorização
"Jaguaraci Batista Silva O Ramiro demora muito para responder mensagem, o Gustavo, ele não responde.",isolamento
"Jaguaraci Batista Silva Uma delas foi fazer o plano de risco que eu fiz e entreguei ali para a Carol e ela compartilhou... Jaguar, eu queria que você respondesse a minha pergunta.",vida_privada
"Priscila Lourenço Molina Desculpa o meu atraso, Jaguar, sempre enrolada aqui. Estava escrevendo esse e-mail que eu acabei de te encaminhar, formalizando as as pessoas que estão saindo, que estão indo. No que é essa agenda, Jaguar? Mais pra gente se alinhar em relação aos pontos mesmo que você tá tocando. Teve coisas que você me mandou e eu não tive tempo de olhar ou eu não entendi. Então eu queria um update aí do que que tá rolando, que dificuldades você tá tendo. Um resuminho aí de como tá tendo sua semana e como que eu posso te ajudar. Tá bom.",desvalorização
"Jaguaraci Batista Silva Tem essa parte da migração primes, né, que você até tirou dúvidas sobre a planilha do Alexandre. Isso! O que que deu esse ponto? Eu peguei a planilha do Alexandre, criei uma coluna ali para tratados de homens de idade que seriam consumidos ali pelo atacado. Essa demanda foi direcionada ali pelo Ramiro, né? E aí tem uma thread ali, já uma agenda que eu estou atualizando. Na verdade foi direcionado ali para o time do Morgado, né? Junto a Elano. É, a Elane que ia fazer isso ou a Ju, né?",vida_privada
"Jaguaraci Batista Silva É que o Morgado, ele que é o líder ali da Squad, então ele relutou ali em liberá-las por conta das demandas que estavam vindo. E como eu vi que eram algumas informações que eu já tinha visto no Confluence, o mapeamento que foi iniciado, outro pedaço ali que tinha informação. Eu já trabalhei com essa página descoberta para migração para a nuvem, então eu fiz um planejamento meu, mas eu acredito que o Ramiro deve ter um planejamento.",desvalorização
"Jaguaraci Batista Silva No ponto de vista das experiências que eu tenho, fiz um planejamento, peguei catálogos de API, catálogos de jogos que estão ativos, que estão em desenvolvimento. Tudo isso está no Confluence. Não tive trabalho a pegar nada disso, só organizei as informações e passei por ele. Agora, do ponto de vista de tabelas mesmo, Mas eu tenho um script ali no sql server para você fazer inventário das tabelas. Eu já trabalhei com o sql server, fazia muito isso quando era DBA e quando fazia otimização também. Mas eu não tenho acesso ao sql server, eu não trabalho na espécie de dados, então o meu nível é só de arquitetura. Entre arquitetura de negócio para arquitetura de solução junto com a Agnes. Então, acho que ali a Elane deve atuar junto ao Morgado, porque são as atividades que eles fazem, de trabalhar com SQL Server, fazer as consultas e atualizar o painel de controle. É esse ponto que eu queria te avisar, por isso eu te mandei aquelas mensagens ali para a Chalé Retampa, que vai ter essa cobrança essa semana, tá? O Ramiro, ele tem uma agenda, acho que é sexta-feira, e a gente já está na pista. Precisa ver dificuldades ali. Não é por conta dessa atividade em si, né, de rodar um script de um e tal, porque isso é fácil, mas eu vejo que as demandas que a Elane já tem ali junto ao Morgado, para alinhar essas demandas e ter tempo para fazer isso. E aí, no caso, se ela tiver alguma dificuldade, pode me chamar, que a gente vê esse escrito, a gente monta e ela executa no escritório. É mais isso que eu queria te alertar. Entendi. Faz sentido, Jaguar. Acho que é isso mesmo.",delegação_inadequada
"Priscila Lourenço Molina Você ajudou ali na parte de mapeamento, mas agora acho que é com ela mesmo, ali junto com o time, e fechar esse assunto de uma vez por todas.",delegação_inadequada
"Priscila Lourenço Molina A gente vai ter, com essa saída da Vanzelli e do Alex, que ambos estão saindo.",vida_privada
"Priscila Lourenço Molina Mas eu encaminhei agora, acho que nem deu tempo de você ler ainda. Depois você lê. O Alex e a Vanzelle são as duas pessoas de dados que estão saindo e dando lugar para duas novas pessoas, o Danilo e o João, que foram as pessoas que vocês entrevistaram, né, Javar, que você já tá por dentro aí da proficiência deles. Eles virão início de setembro, a gente vai ter uma semana de KT, tanto da parte do Alex quanto da parte da Ju, a gente vai ter uma semana de KT, e depois eles vão se desconectar. Eu também queria que você acompanhasse esse assunto, não só por conta do onboarding deles, que vai acontecer descasado, mas também como que o banco, o Morgado mesmo, o Ramiro, como que eles estão se organizando para esse KT acontecer. Esse KT vai acontecer. Vai mencionar outras coisas, principalmente falando do Alex, tá? O Alex tem, a Ju, que é a, eu acho que, talvez seja um pouco mais tranquilo, mas o Alex, ele tem coisas, assim, que estão bem centralizadas nele ali, acho que é de rar, se eu não tô enganada. Então, assim, Como que o banco vai se organizar para isso? Eles vão colocar isso na mão de outra pessoa do time ou a gente vai já internalizar esse assunto com o time do Ramiro mesmo, o time interno do banco? Eu acho que esse ponto, Jaguar, vale a pena ali, no e-mail eu coloquei tão simples quanto planejar o KT até essa data Mas o que eu tô querendo dizer com isso é o seguinte, gente, não tem chororô. A pessoa vai embora, tá ali a data, tá com antecedência pra todo mundo se planejar. Eu não quero que chegue na semana, ali na última semana e falar assim, ah, eu precisava dele aqui mais duas semanas, ou ah, deu uma zica aqui no RAR, eu vou precisar chamar o Alex. Não, não vai precisar chamar o Alex, ele vai pra fora do banco. Ele não vai mais ficar dentro do Bradesco, ele vai pra fora do banco. Então eu queria que você, Jaguar, acompanhasse esse assunto de perto. Não é prerrogativa nossa fazer isso, afinal de contas o Morgado é a liderança da Squad, a gente tem ali o Ramiro como vessouro responsável, mas é importante a gente garantir que isso está acontecendo, ou pelo menos puxar o ponto para fazerem isso acontecer, entendeu?",desvalorização
"Jaguaraci Batista Silva Além dessa parte ali da migração ali do UmPrivate e do Razer, tem duas coisas também que estão...",desvalorização
"Jaguaraci Batista Silva A integração do painel com o mercado-alvo, que eu faço ali de casting, eu até fiz desenho de arquitetura para ajudar o pessoal para descoberta, eles já estavam finalizando o protótipo. Mas isso não andou, tá? A Thalani cobrou também, mas não andou. Acredito que o desenho da arquitetura está bem completo, tem todas as etapas da solução ali bem definidas e o desenho está muito bom. Não estou falando isso porque eu fiz, não. Dentro daquilo que foi conversado. Eu entendo quando eu faço um bom desenho, quando eu faço um péssimo desenho, quando não tenho muita informação. Mas daquela conversa que eu participei, eu consegui extrair muita informação. Inclusive, eu passei para a Elano e toda a informação foi extraída. Então, faltou mesmo a direção do banco mesmo para eu testar o ambiente, se os servidores as CADs estão realmente linkados, se não estão, porque não estão, quem vai fazer, quem vai ser responsável por isso, mas a solução para fazer a consulta, como deveria fazer, as tecnologias que deveriam usar já estão no desenho. Então, do ponto de vista de solução, o desenho, eu considero ele as 90 opções. Acho que 10% menos, 11 pages mesmo, porta, definir tudo isso. O banco precisa definir. Só que isso não tá caminhando, tá, Priscila? Eu coloquei pro desenho, a Elaine tá cobrando, mas a gente já vai aí pra uma semana sem nenhuma resposta, sem nenhuma interação. Quem deveria ser a pessoa?",desvalorização
"Jaguaraci Batista Silva Ah, esse é o meu grupo. Entendi. Eu queria colocar você nessas iniciativas, acho que tem muita coisa pra você ficar olhando. Tudo isso que eu tô te falando tá no Teens. Então eu tiro o print e te encaminho pelo Teens ali do Bradesco e você vai acompanhando. Mas isso me preocupa porque Porque já tem muito tempo, né? Então, exatamente uma semana que ninguém respondeu. E o André, ele fica sempre preocupado acompanhando ali as iniciativas. E ele perguntou sobre essa iniciativa de integração ali com o Painel e o Mercado Álvao, né, pra creche. Aí tem que ver com o André, que é o pior responsável, porque já não é da vila atacada, né, do creche.",desvalorização
"Jaguaraci Batista Silva Eu passei os dados, tô ali na ausência da Estalbelo, se precisa rodar um sleep, já juntaram. Mas ele também não retornou. Mesma coisa. Sempre que tem esses pontos ali, Priscila, foi o que eu escrevi pra você. A gente não tem como ficar cobrando, né, pro cliente. Mas esse ponto que é meio cinza, que a gente vê, é que eu acho que precisa de uma gestão mais ativa, mais forte para entender os status das coisas. Por exemplo, eu estou preocupado com o fornecedor, que a gente consiga implementar. Mas veja, eu, o Elânio, o Cassius cobrando, para que as coisas continuem, porque está na fase descoberta, a gente quer fazer o planejamento de delivery, quer avançar para entregar, mas a gente não tem avanço a uma semana. O mesmo caso é o caso do Ramiro. Olha, entregamos os dados, isso é suficiente? Como é que está o planejamento da descoberta? Quais são as etapas? E também não houve resposta. Já tem dois dias que ele não responde. Eu vou olhar aqui ontem. Segundo e segunda-feira geralmente tem muita coisa para resolver. Mas precisa de um planejamento para essa descoberta para a nuvem, para migrar para a nuvem. Esse plano eu não vejo, pelo experiência que eu tenho. Com relação à proximidade de crédito e a integração ali com o seu esforço para a HCI, isso aí também está me preocupando muito. Eu falei para a Agnes que eu queria ajudar ali na arquitetura, no design, da integração.",desvalorização
"Jaguaraci Batista Silva Geralmente eu não tenho dificuldade em fazer serviço da integração, tanto que para o caixa ali eu precisava pedir uma agenda, eu pedia informações. Mas essas agendas de arquitetura para a integração do prédito, elas são com furas pra caramba. Os arquitetos eles estão Os arquitetos do banco estão perdidos. Eu participei de uma agenda só que a Agnes me colocou. Eu vejo que eles estão perdidos. Desenhar arquitetura não é só esperar a história. Tanto que protesto eu não tenho nenhuma história escrita. Eu já desenhei arquitetura de solução já entendendo nas discussões. Eu acredito que os arquitetos são muito técnicos. Eles precisam ter essa ideia de negócio, que é o planilho que eu te mandei. Olha, as áreas de negócio têm esses domínios de dados, tem a entrega de valor. Isso tem a ver com aquela reunião que o André fez de organização do processo todo, desde a descoberta até o delivery. O Antônio até mencionou que está tudo errado, está vindo errado e não tem a visão da entrega de valor correta. Isso está passando para a arquitetura também. Eu não sei da experiência ali das pessoas. Eu vi que na reunião de arquitetura a McKinsey estava participando, então tem uma boa consultoria, mas isso não está sendo extraído corretamente.",delegação_inadequada
"Jaguaraci Batista Silva consegue entender quais são as quebras ali de subprocessos, quais são, na verdade, nem a cadeia de processo, nem a cadeia de valor do processo, que é uma ideia geral do macroprocesso. Você vê, na apresentação que eu estava fazendo, tem alguns exemplos ali, né, Priscila? Vou te mostrar aqui só para você entender.",delegação_inadequada
Jaguaraci Batista Silva Tudo isso é a partir do BIAM.,delegação_inadequada
"Jaguaraci Batista Silva Mas isso não significa que o banco aplique a Bianca, o banco não aplica. Mas a gente precisa entender quais são as áreas. A gente precisa entender também que o atacado é uma área secundária, uma área que entrega histórias habilitadoras, técnicas. Ela não entrega valor. Por exemplo, não é que ela não entrega valor, o valor dela é sempre o técnico ou o valor que vai passar o bastão para outra área definitivamente gerar um valor maior para o banco. A jornada de oportunidade de crédito, por exemplo, é um exemplo muito bom porque a gente pega todos os dados para fazer desde a análise do mercado-algo, ou seja, você pega dados de lead, vai trabalhando o cliente, vai entendendo segmentação, faz toda a proposta e depois manda para o pega, para o pega analisar e fechar o contrato. Então o atacado ele trabalha muito nessa área, ele é uma área sacrudada, ele trabalha muito nessa oportunidade tanto de produtos quanto de serviços. Este está muito claro também, o Cash vai pegar os dados de mercado-alvo do Atacado para poder trabalhar e oferecer serviço completo para a Cash Management do banco. Então a gente vê que o Atacado tem essa função muito clara e a gente precisa entender quais são essas etapas. Que possui as etapas ali que o cash trabalha com as outras áreas. Mas isso não significa que o banco aplique dessa forma. Captação de leads, qualificação, captação de clientes com o trabalho do mercado alto, identificação das oportunidades. Essa seria as etapas, sabe Priscila, até que você monitore todas as transações, todos os contratos. E você precisa fazer isso para todas as áreas. Todas as áreas que você tem relacionamento, você precisa entender quais são as etapas ali do relacionamento do atacado. E você precisa entregar o valor de acordo com a área, porque o atacado valor dele é habilitação. É pegar, por exemplo, se a gente for falar em futebol, o atacado tem um mid-campo que ele consegue encontrar o atacante livre para fazer o gol. É isso que ele faz com as outras áreas. Ele pega todas as verdades, ele passa tudo que a área precisa, ele faz toda análise de mercado, Olha, isso é tudo que você precisa de dados. A gente tem uma proposta aqui que é a nossa força de vendas. E você pode pegar esses dados, analisar e tomar boas decisões para fechar os contratos. O atacado faz muito isso. Só que isso não está muito claro, pelo que eu vejo nas reuniões ali. Essa primeira reunião de arquitetura estava bem confusa. As pessoas não conseguem entender isso aqui. Então, qual que é a dificuldade? A área de negócio, ela não vai saber como o atacado funciona, porque a área de negócio está fora do atacado. A área de negócio, ela vai demandar alguma informação, alguma segmentação, como por exemplo, cash, que é pegar os dados ali do mercado-alvo para tomar decisões, para fazer análise, para criar um painel. Então, a área não sabe como o atacado funciona e o atacado precisa entender como a área quer habilitar as tecnologias que o atacado tem, a expertise que o atacado tem, porque o atacado é uma área secundária. Então, se não unir alguém do atacado para entender o que a área quer entregar valor, essas jornadas ficam desconexas. A gente não consegue entender a entrega de valor, que é o que está acontecendo hoje. E aí eu vejo que os arquitetos estão ainda no nível muito alto, esperando a história chegar pronta para poder desenhar arquitetura. Isso não vai acontecer. A área de negócio não vai te dizer o que ela precisa, porque é uma visão do atacado para as áreas. Então as áreas não sabem eternamente como o atacado funciona. Alguém do atacado precisa ir lá compreender essa integração das áreas, entender o que precisa de entrega de valor, o que vai realmente agregar valor à operação, o que o atacado agrega valor à operação. Como é que isso é monitorado? Quais são as métricas? E aí você vai entender as etapas que o atacado precisa fazer para cumprir o seu papel junto às áreas, que são essas iniciativas de integração.",desvalorização
"Jaguaraci Batista Silva Se a gente não entender isso, a gente vai quebrar a jornada de forma errada, a gente não vai entender a entrega do valor, a gente não consegue entender como a priorização, inclusive, dessa jornada, que é o que está acontecendo. Agora, do ponto de vista de arquitetura, entender o negócio é importante para a arquitetura, porque a gente precisa saber se aquele dado é quente, o frio, se ele precisa de um tratamento mais rápido, se ele é online ou se ele vai ser batch. Sim, é verdade.",delegação_inadequada
